,Models,Train_RMSE,Test_RMSE,Train_RMSE - train : 2 1/2 Y test 4 1/2 M,Test_RMSE - train : 2 1/2 Y test 4 1/2 M,Train_RMSE - train : 2 1/2 Y test 2 M,Test_RMSE - train : 2 1/2 Y test 2 M,Train_RMSE iforest,Test_RMSE iforest,Train_RMSE z-score,Test_RMSE z-score
0,LinearRegression(),9.437999999999999,12.798,8.964,10.047,8.619,5.9910000000000005,8.552999999999999,6.029,8.597000000000001,5.975
1,RandomForestRegressor(),1.455,14.136,1.3230000000000002,11.274000000000001,1.308,6.647,1.3,6.541,1.29,6.309
2,LGBMRegressor(),4.164,13.368,3.866,10.682,3.821,6.457000000000001,3.787,6.632000000000001,3.795,6.415
3,CatBoostRegressor(),3.031,13.527000000000001,2.8539999999999996,9.899,2.826,7.68,2.7910000000000004,7.528,2.813,7.443
4,XGBRegressor(),6.337999999999999,13.062000000000001,6.222,11.102,6.265,5.541,6.251,5.5760000000000005,6.189,5.518
5,pm.auto_arima(),6.297999999999999,5.655,,,,,,,,
6,LGBMRegressor(TUNNED),,,,,1.695,6.348,,,1.667,5.937
7,CatBoostRegressor(TUNNED),,,,,0.455,5.812,,,0.418,5.439
8,XGBRegressor(TUNNED),,,,,1.231,7.074,,,1.243,6.487
9,Blending XGBRegressor() AND CatBoostRegressor(TUNNED),,,,,,,,,3.235,5.366
